NO,DPRTM_CHRG,CORP_NM,ADDRESS,TRGT_YEAR,DSGN_CLSF,DSGN_INDS,GHG_EMS,GHG_UNIT,GHG_EMS_BU,GHG_EMS_BU_UNIT,ENG_CNSM,ENG_UNIT,ENG_CNSM_BU,ENG_CNSM_BU_UNIT,VRFCT_AGNCY,TST
426,환경부,부산광역시,부산광역시 연제구 중앙대로 1001,2017,업체,폐기물,"1,197,432",tCO₂eq,-,-,"10,575",TJ,-,-,(재)한국화학융합시험연구원,-
427,국토교통부,부산교통공사,부산광역시 부산진구 중앙대로644번길 20 ,2017,업체,교통(철도),"166,529",tCO₂eq,-,-,"3,424",TJ,-,-,한국표준협회,"313,673,040,476"
428,국토교통부,부산대학교,부산광역시 금정구  부산대학로 63번길 2 부산대학교,2017,사업장,건물,"23,401",tCO₂eq,-,-,478,TJ,-,-,㈜한국품질보증원,-
429,산업통상자원부,부산정관에너지(주),부산광역시 기장군 정관읍 산단1로 83,2017,사업장,집단에너지,"63,680",tCO₂eq,-,-,"1,262",TJ,-,-,대일이엔씨기술(주),-
430,산업통상자원부,부산주공(주),울산광역시 울주군 온산읍 회학1길 54 ,2017,사업장,자동차,"120,833",tCO₂eq,-,-,"2,229",TJ,-,-,(주)한국경영인증원,-
431,산업통상자원부,부산패션칼라산업협동조합,부산광역시 사하구 신산로13번길 33,2017,업체,산업단지,"187,627",tCO₂eq,896.3,tCO2eq/억원,"2,690",TJ,12.85,TJ/억원,이큐에이㈜,"20,933,446,000"
432,환경부,부천시,경기도 부천시 원미구 길주로 210,2017,업체,폐기물,"376,952",tCO₂eq,-,-,"1,331",TJ,-,-,한국산업기술시험원,-
433,산업통상자원부,부흥석회,충청북도 괴산군 청안면 괴산로 2029,2017,사업장,시멘트,"51,774",tCO₂eq,-,-,187,TJ,-,-,티유브이슈드코리아㈜,-
434,산업통상자원부,브이피에이치메탈 유한회사,경상북도 성주군 성주읍 성주산업단지로1길 99,2017,사업장,철강,"31,757",tCO₂eq,-,-,610,TJ,-,-,(주)한국경영인증원,-
435,환경부,비노텍 주식회사,경기도 안산시 단원구 해안로 308,2017,사업장,폐기물,"85,695",tCO₂eq,-,-,101,TJ,-,-,티유브이슈드코리아㈜,-
436,산업통상자원부,비를라카본코리아(주),전라남도 여수시 여수산단로2로 46-101,2017,사업장,석유화학,"129,422",tCO₂eq,-,-,"1,503",TJ,-,-,(재)한국품질재단,-
437,국토교통부,사회복지법인 삼성생명공익재단,서울특별시 용산구 이태원로55길 48,2017,사업장,건물,"87,723",tCO₂eq,-,-,"1,774",TJ,-,-,(재)한국품질재단,-
438,산업통상자원부,삼강에스앤씨(주),경상남도 고성군 동해면 조선특구로 740,2017,사업장,조선,"13,248",tCO₂eq,-,-,241,TJ,-,-,(재)한국품질재단,-
439,산업통상자원부,삼강엠앤티,경상남도 고성군 동해면 내산3길 51-1,2017,사업장,조선,"17,454",tCO₂eq,-,-,280,TJ,-,-,한국표준협회,-
440,산업통상자원부,삼광글라스(주),서울특별시 서초구  양재대로 246 송암빌딩 3층,2017,업체,유리,"190,204",tCO₂eq,61.17,tCO2eq/억원,"3,142",TJ,1.01,TJ/억원,(재)한국품질재단,"310,927,507,000"
441,산업통상자원부,삼남석유화학주식회사,서울특별시 종로구 종로33길 31,2017,업체,석유화학,"208,422",tCO₂eq,25.72,tCO2eq/억원,"2,507",TJ,0.31,TJ/억원,한국표준협회,"810,481,352,000"
442,산업통상자원부,삼미금속(주),경상남도 창원시 성산구  공단로 589 (성산동 59번지),2017,사업장,철강,"20,221",tCO₂eq,-,-,405,TJ,-,-,한국표준협회,-
443,산업통상자원부,삼보산업 주식회사,경상남도 창원시 진해구 남의로21번길 36,2017,사업장,비철금속,"35,371",tCO₂eq,-,-,525,TJ,-,-,한국표준협회,-
444,해양수산부,삼부해운㈜,부산광역시 중구 중앙대로 75 (중앙동4가),2017,사업장,교통(해운),"4,516",tCO₂eq,-,-,63,TJ,-,-,(주)한국경영인증원,-
445,산업통상자원부,삼성디스플레이 주식회사,경기도 용인시 기흥구 삼성로 1,2017,업체,디스플레이,"5,048,146",tCO₂eq,16.76,tCO2eq/억원,"80,861",TJ,0.27,TJ/억원,(재)한국품질재단,"30,111,427,000,000"
446,국토교통부,삼성물산 주식회사,서울특별시 송파구 올림픽로 35길 123 (신천동),2017,사업장,건물,"120,914",tCO₂eq,-,-,"2,535",TJ,-,-,(주)한국경영인증원,-
447,산업통상자원부,삼성바이오로직스 주식회사,인천광역시 연수구 첨단대로 125,2017,사업장,석유화학,"85,314",tCO₂eq,-,-,"1,726",TJ,-,-,(재)한국품질재단,-
448,국토교통부,삼성생명보험 주식회사,"서울특별시 서초구 서초대로74길 11(서초동, 삼성전자 서초사옥)",2017,업체,건물,"101,769",tCO₂eq,0.38,tCO2eq/억원,"1,648",TJ,0.01,TJ/억원,(재)한국품질재단,"27,074,370,000,000"
449,산업통상자원부,삼성에스디아이 주식회사,경기도 용인시 기흥구 공세로 150-20,2017,업체,전기전자,"438,461",tCO₂eq,8.05,tCO2eq/억원,"8,609",TJ,0.16,TJ/억원,(재)한국품질재단,"5,445,917,363,000"
450,산업통상자원부,삼성에스디에스(주),서울특별시 송파구 올림픽로35길 125 (신천동),2017,사업장,통신,"96,681",tCO₂eq,-,-,"1,975",TJ,-,-,(재)한국품질재단,-
451,산업통상자원부,삼성전기 주식회사,경기도 수원시 영통구 매영로 150,2017,업체,전기전자,"391,022",tCO₂eq,7.82,tCO2eq/억원,"8,166",TJ,0.16,TJ/억원,(주)비에스아이그룹코리아,"5,003,041,032,000"
452,산업통상자원부,삼성전자 주식회사,경기도 수원시 영통구 삼성로 129,2017,업체,반도체,"8,589,517",tCO₂eq,5.3,tCO2eq/억원,"130,834",TJ,0.08,TJ/억원,(재)한국품질재단,"161,915,007,000,000"
453,산업통상자원부,삼성중공업 주식회사,경기도 성남시 분당구 판교로227번길 23(삼평동),2017,업체,조선,"482,339",tCO₂eq,6.52,tCO2eq/억원,"7,779",TJ,0.11,TJ/억원,한국표준협회,"7,396,888,950,000"
454,산업통상자원부,삼성코닝어드밴스드 글라스,경상북도 구미시 3공단3로 242 ,2017,사업장,유리 · 요업,"14,024",tCO₂eq,-,-,306,TJ,-,-,로이드인증원㈜,-
455,산업통상자원부,삼신정밀(주),경상남도 함안군 군북면 함안산단4길 3,2017,사업장,자동차,"23,255",tCO₂eq,-,-,472,TJ,-,-,한국표준협회,-
456,산업통상자원부,삼아알미늄주식회사,경기도 평택시 포승읍 평택항로 92,2017,사업장,비철금속,"18,832",tCO₂eq,-,-,374,TJ,-,-,한국표준협회,-
457,농림축산식품부,삼양식품(주) 원주공장,서울특별시 성북구 오패산로3길 104,2017,사업장,식료품 제조업,"31,224",tCO₂eq,-,-,616,TJ,-,-,(주)비에스아이그룹코리아,-
458,산업통상자원부,삼양이노켐 주식회사,전라북도 군산시 자유무역1길 133,2017,사업장,석유화학,"84,038",tCO₂eq,-,-,"1,627",TJ,-,-,환경보전협회,-
459,산업통상자원부,삼양통상(주),경기도 군포시  공단로 90 ,2017,사업장,섬유,"14,982",tCO₂eq,-,-,301,TJ,-,-,이큐에이㈜,-
460,산업통상자원부,삼양화성주식회사,서울특별시 종로구 종로33길 31(연지동) ,2017,업체,석유화학,"110,812",tCO₂eq,41.27,tCO2eq/억원,"2,539",TJ,0.95,TJ/억원,환경보전협회,"268,500,969,588"
461,산업통상자원부,삼영산업,경상남도 김해시 진영읍 하계로138번길 51-62,2017,사업장,요업,"27,277",tCO₂eq,-,-,483,TJ,-,-,이큐에이㈜,-
462,산업통상자원부,삼영엠텍(주),경상남도 함안군 칠서면 삼칠로 631-35 삼영엠텍(주),2017,사업장,철강,"11,764",tCO₂eq,-,-,238,TJ,-,-,한국표준협회,-
463,국토교통부,삼영운수(주),경기도 안양시 만안구 일직로 119 (석수동),2017,사업장,교통(여객),"35,016",tCO₂eq,-,-,556,TJ,-,-,한국표준협회,-
464,산업통상자원부,삼영전자공업(주),경기도 성남시 중원구 사기막골로 47(상대원동) ,2017,업체,전기전자,"141,044",tCO₂eq,72.31,tCO2eq/억원,"2,892",TJ,1.48,TJ/억원,한국산업기술시험원,"195,065,085,000"
465,산업통상자원부,삼영화학공업(주),충청북도 청주시 흥덕구 직지대로435번길 56(송정동) ,2017,사업장,석유화학,"31,375",tCO₂eq,-,-,638,TJ,-,-,이큐에이㈜,-
466,산업통상자원부,삼우중공업 주식회사,전라남도 광양시 광양읍 율촌산단3로 111 ,2017,사업장,조선,"19,758",tCO₂eq,-,-,327,TJ,-,-,(주)한국경영인증원,-
467,산업통상자원부,삼정펄프(주),경기도 평택시 고덕면 고덕로 85 ,2017,업체,제지,"162,066",tCO₂eq,113.02,tCO2eq/억원,"1,500",TJ,1.05,TJ/억원,(주)비에스아이그룹코리아,"143,391,797,000"
468,산업통상자원부,삼표기초소재 주식회사,충청남도 당진시 신평면 당진항만로 97,2017,사업장,시멘트,"28,010",tCO₂eq,-,-,567,TJ,-,-,한국표준협회,-
469,산업통상자원부,삼표시멘트,강원도 삼척시 동양길 20(사직동) ,2017,업체,시멘트,"7,235,875",tCO₂eq,"1,079.77",tCO2eq/억원,"37,130",TJ,5.54,TJ/억원,(재)한국품질재단,"670,133,332,000"
470,산업통상자원부,삼호제강주식회사,인천광역시 남동구 남동대로 130 (고잔동),2017,사업장,철강,"15,885",tCO₂eq,-,-,317,TJ,-,-,이큐에이㈜,-
471,산업통상자원부,삼화왕관(주),경기도 안산시 단원구 강촌로 140 (성곡동),2017,사업장,기계,"17,360",tCO₂eq,-,-,338,TJ,-,-,한국표준협회,-
472,산업통상자원부,삼화제지(주),충청북도 청원군 옥산면 오산가좌로 415-14,2017,사업장,제지,"29,594",tCO₂eq,-,-,816,TJ,-,-,한국표준협회,-
473,산업통상자원부,삼흥열처리,경상남도 밀양시 부북면 사포산단중앙로 92,2017,사업장,기계,"28,489",tCO₂eq,-,-,576,TJ,-,-,이큐에이㈜,-
