,TRGT_YEAR,GHG_EMS
452,2016,3045658
453,2016,60646
454,2016,298421
455,2016,19079
456,2016,48829
457,2016,21596
458,2016,78826
459,2016,424170
460,2016,39749
461,2016,184854
462,2016,203011
463,2016,18389
464,2016,6002369
465,2016,81307
466,2016,19635
467,2016,26675
468,2016,49542
469,2016,119727
470,2016,21195
471,2016,168751
472,2016,15821
473,2016,45249
474,2016,100012
475,2016,33859
476,2016,20236
477,2016,56040
478,2016,38672
479,2016,122464
480,2016,40207
481,2016,1657412
482,2016,154829
483,2016,300268
484,2016,20488
485,2016,50430
486,2016,130196
487,2016,29062
488,2016,47087
489,2016,41405
490,2016,71821
491,2016,256733
492,2016,93246
493,2016,96155
494,2016,27352
495,2016,15520
496,2016,12940
497,2016,14664
498,2016,23576
499,2016,93533
500,2016,17932
501,2016,23057
502,2016,38021
503,2016,12248603
504,2016,149709
505,2016,71196
506,2016,64760
507,2016,84276
508,2016,5724
509,2016,2638862
510,2016,27816
511,2016,280121
512,2016,183
513,2016,39739
514,2016,2996583
515,2016,47730
516,2016,516811
517,2016,351284
518,2016,99239
519,2016,24721
520,2016,2724
521,2016,65997
522,2016,20183
523,2016,239981
524,2016,133925
525,2016,136865
526,2016,171986
527,2016,18546
528,2016,84318
529,2016,73553
530,2016,40063
531,2016,45489
532,2016,28399
533,2016,194188
534,2016,196810
535,2016,699772
536,2016,17089
537,2016,82941
538,2016,29415
539,2016,40339
540,2016,7718837
541,2016,151882
542,2016,105226
543,2016,1920327
544,2016,3149816
545,2016,485851
546,2016,828073
547,2016,3099900
548,2016,31736
549,2016,212287
550,2016,178558
551,2016,648760
552,2016,85260
553,2016,18556
554,2016,19097
555,2016,20917
556,2016,513430
557,2016,23959
558,2016,110137
559,2016,153452
560,2016,6091611
561,2016,1028652
562,2016,327143
563,2016,513628
564,2016,66766
565,2016,84866
566,2016,3630444
567,2016,20322
568,2016,17188
569,2016,26933
570,2016,31724
571,2016,111944
572,2016,8389
573,2016,93873
574,2016,13926
575,2016,46884
